,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
1309,30,145,100,令和2年,長行西,27000000,40107,令和,2,2.0
1311,30,170,90,令和3年,長行西,29000000,40107,令和,3,1.0
1314,18,165,105,令和3年,長行西,25000000,40107,令和,3,1.0
1315,24,210,90,昭和49年,長行西,8900000,40107,昭和,49,49.0
1316,20,140,100,令和3年,長行西,30000000,40107,令和,3,1.0
1317,28,210,110,昭和54年,長行西,11000000,40107,昭和,54,44.0
1318,30,145,110,令和3年,長行東,26000000,40107,令和,3,1.0
1319,12,155,100,平成22年,長行東,13000000,40107,平成,22,13.0
1322,7,150,100,令和3年,長行東,39000000,40107,令和,3,1.0
1325,5,170,100,昭和46年,上石田,11000000,40107,昭和,46,52.0
1330,20,140,100,令和4年,上曽根,25000000,40107,令和,4,0.0
1331,28,150,105,令和4年,上曽根,30000000,40107,令和,4,0.0
1332,23,320,100,平成14年,上曽根,13000000,40107,平成,14,21.0
1333,21,145,105,令和3年,上曽根,26000000,40107,令和,3,1.0
1334,21,140,105,令和3年,上曽根,21000000,40107,令和,3,1.0
